word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
hypocrisy,n.,pretending to believe what one does not  I SAT Vocabulary,"Once the politician began passing legislation that contradicted his campaign promises, his hypocrisy became apparent.","Once the politician began passing legislation that contradicted his campaign promises, his _________ became apparent.",,,,,,,
hypothetical,adj.,"supposed or assumed true, but unproven  I","Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still hypothetical.","Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still ____________.",,,,,,,
iconoclast,n.,one who attacks common beliefs or institutions,"Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda.","Jane goes to one protest after another, but she seems to be an __________ rather than an activist with a progressive agenda.",,,,,,,
idiosyncratic,adj.,peculiar to one person; highly individualized,"I know you had trouble with the last test, but because your mistakes were highly idiosyncratic, I’m going to deny your request that the class be given a new test.","I know you had trouble with the last test, but because your mistakes were highly _____________, I’m going to deny your request that the class be given a new test.",,,,,,,
idolatrous,adj.,excessively worshipping one object or person,"Xena’s idolatrous fawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.","Xena’s __________ fawning over the band—following them on tour, starting their fan club, filming their documentary—is really beginning to get on my nerves.",,,,,,,
ignominious,adj.,"humiliating, disgracing",It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room.,It was really ___________ to be kicked out of the dorm for having an illegal gas stove in my room.,,,,,,,
illicit,adj.,"forbidden, not permitted",The fourth-grader learned many illicit words from a pamphlet that was being passed around school.,The fourth-grader learned many _______ words from a pamphlet that was being passed around school.,,,,,,,
immerse,v.,"to absorb, deeply involve, engross","After breaking up with her boyfriend, Nancy decided to immerse herself in her work in order to avoid crying.","After breaking up with her boyfriend, Nancy decided to _______ herself in her work in order to avoid crying.",,,,,,,
immutable,adj.,not changeable,The laws of physics are immutable and constant.,The laws of physics are _________ and constant.,,,,,,,
impassive,adj.,"stoic, not susceptible to suffering",Stop being so impassive; it’s healthy to cry every now and then.,Stop being so _________; it’s healthy to cry every now and then.,,,,,,,
impeccable,adj.,"exemplary, flawless","If your grades were as impeccable as your sister’s, then you too would receive a car for a graduation present.","If your grades were as __________ as your sister’s, then you too would receive a car for a graduation present.",,,,,,,
impecunious,adj.,"poor  imperative 1.  necessary, pressing  2.  a rule, command, or order","“I fear he’s too impecunious to take me out tonight,” the bratty girl whined.","“I fear he’s too ___________ to take me out tonight,” the bratty girl whined.",,,,,,,
imperious,adj.,"commanding, domineering  SAT Vocabulary I",The imperious nature of your manner led me to dislike you at once.,The _________ nature of your manner led me to dislike you at once.,,,,,,,
impertinent,adj.,"rude, insolent",Most of your comments are so impertinent that I don’t wish to dignify them with an answer.,Most of your comments are so ___________ that I don’t wish to dignify them with an answer.,,,,,,,
impervious,adj.,"impenetrable, incapable of being affected","Because of their thick layer of fur, many seals are almost impervious to the cold.","Because of their thick layer of fur, many seals are almost __________ to the cold.",,,,,,,
impetuous,adj.,"rash; hastily done  impinge 1.  to impact, affect, make an impression  2.  to encroach, infringe","Hilda’s hasty slaying of the king was an impetuous, thoughtless action.","Hilda’s hasty slaying of the king was an _________, thoughtless action.",,,,,,,
implacable,adj.,"incapable of being appeased or mitigated  implement 1.  an instrument, utensil, tool  2.  to put into effect, to institute","Watch out: once you shun Grandma’s cooking, she is totally implacable.","Watch out: once you shun Grandma’s cooking, she is totally __________.",,,,,,,
implicate,v.,"to involve in an incriminating way, incriminate","Even though Tom wasn’t present at the time of the shooting, he was implicated by the evidence suggesting that he had supplied the shooters with guns.","Even though Tom wasn’t present at the time of the shooting, he was _________d by the evidence suggesting that he had supplied the shooters with guns.",,,,,,,
implicit,adj.,"understood but not outwardly obvious, implied","I know Professor Smith didn’t actually say not to write from personal experience, but I think such a message was implicit in her instruction to use scholarly sources.","I know Professor Smith didn’t actually say not to write from personal experience, but I think such a message was ________ in her instruction to use scholarly sources.",,,,,,,
impregnable,adj.,resistant to capture or penetration,"Though the invaders used battering rams, catapults, and rain dances, the fortress proved impregnable and resisted all attacks.","Though the invaders used battering rams, catapults, and rain dances, the fortress proved ___________ and resisted all attacks.",,,,,,,
impudent,adj.,"casually rude, insolent, impertinent",The impudent young man looked the princess up and down and told her she was hot even though she hadn’t asked him.,The ________ young man looked the princess up and down and told her she was hot even though she hadn’t asked him.,,,,,,,
impute,v.,"to ascribe, blame",The CEO imputed the many typos in the letter to his lazy secretary.,The CEO ______d the many typos in the letter to his lazy secretary.,,,,,,,
inane,adj.,silly and meaningless,Some films are so inane that the psychology of the characters makes absolutely no sense.,Some films are so _____ that the psychology of the characters makes absolutely no sense.,,,,,,,
inarticulate,adj.,"incapable of expressing oneself clearly through speech  I SAT Vocabulary incarnate 1.  existing in the flesh, embodied  2.  to give human form to  incendiary 1.  a person who agitates  2.  inflammatory, causing combustion","Though he spoke for over an hour, the lecturer was completely inarticulate and the students had no idea what he was talking about.","Though he spoke for over an hour, the lecturer was completely ____________ and the students had no idea what he was talking about.",,,,,,,
incessant,adj.,unending,"We wanted to go outside and play, but the incessantrain kept us indoors for two days.","We wanted to go outside and play, but the _________rain kept us indoors for two days.",,,,,,,
inchoate,adj.,"unformed or formless, in a beginning stage","The country’s government is still inchoate and, because it has no great tradition, quite unstable.","The country’s government is still ________ and, because it has no great tradition, quite unstable.",/ɪnˈkəʊeɪt/,/ɪnˈkəʊeɪt/; /ɪnˈkoʊeɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/inchoate-us.mp3,noun; verb; adjective,"A beginning, an immature start.; To begin or start (something).; To cause or bring about.; To make a start.; Recently started but not fully formed yet; just begun; only elementary or immature.; Chaotic, disordered, confused; also, incoherent, rambling.; Of a crime, imposing criminal liability for an incompleted act.",incipient; immature; elementary; rudimentary; nascent; chaotic; confused; embryonic,
incisive,adj.,"clear, sharp, direct",The discussion wasn’t going anywhere until her incisive comment allowed everyone to see what the true issues were.,The discussion wasn’t going anywhere until her ________ comment allowed everyone to see what the true issues were.,/ɪnˈsaɪsɪv/,/ɪnˈsaɪsɪv/,,adjective,"Quickly proceeding to judgment and forceful in expression; decisive; forthright.; Intelligently analytical and concise.; Having the quality of incising, cutting, or penetrating, as with a sharp instrument; sharp; acute; sarcastic; biting.; Of or relating to the incisors.",,
inclination,n.,"a tendency, propensity","Sarah has an inclination to see every foreign film she hears about, even when she’s sure that she won’t like it.","Sarah has an ___________ to see every foreign film she hears about, even when she’s sure that she won’t like it.",,,,,,,
incontrovertible,adj.,indisputable,Only stubborn Tina would attempt to disprove the incontrovertible laws of physics.,Only stubborn Tina would attempt to disprove the ________________ laws of physics.,,,,,,,
incorrigible,adj.,"incapable of correction, delinquent","You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she’s incorrigible.","You can buy Grandma nicotine gum all you want, but I think that after sixty-five years of smoking she’s ____________.",,/ɪnˈkɒɹɨdʒɨb(ə)l/; /ɪnˈkɔɹɨdʒɨb(ə)l/,https://api.dictionaryapi.dev/media/pronunciations/en/incorrigible-au.mp3,noun; adjective,"An incorrigibly bad individual.; Defective and impossible to materially correct or set aright.; Incurably depraved; not reformable.; Impervious to correction by punishment or pain.; Unmanageable.; Determined, unalterable, hence impossible to improve upon.; Incurable.",,
increment,n.,an enlargement; the process of increasing incumbent 1.  one who holds an office  2.  obligatory,"The workmen made the wall longer, increment by increment.","The workmen made the wall longer, _________ by _________.",/ˈɪŋkɹɪmn̩t/,/ˈɪŋkɹɪmn̩t/,https://api.dictionaryapi.dev/media/pronunciations/en/increment-uk.mp3,noun; verb,"The action of increasing or becoming greater.; The waxing of the moon.; The amount of increase.; An amplification without strict climax, as in the following passage: ""Finally, brethren, whatsoever things are true, whatsoever things are honest, whatsoever things are just, whatsoever things are pure, whatsoever things are lovely, whatsoever things are of good report, [...] think on these things.""; The amount of time added to a player's clock after each move.; (grammar) A syllable in excess of the number of the nominative singular or the second-person singular present indicative.; To increase by steps or by a step, especially by one.",,
indefatigable,adj.,"incapable of defeat, failure, decay","Even after traveling 62 miles, the indefatigable runner kept on moving.","Even after traveling 62 miles, the _____________ runner kept on moving.",/ˌɪndɪfəˈtiɡəbəl/,/ˌɪndɪfəˈtiɡəbəl/; /ˌɪndɪˈfætɪɡəbl/; /ˌɪndəˈfætəɡəbəl/,https://api.dictionaryapi.dev/media/pronunciations/en/indefatigable-au.mp3,adjective,Extremely persistent and untiring.,unwearying; relentless; inexhaustible; unflagging; unsinkable; untiring; tireless,defatigable
indigenous,adj.,originating in a region,"Some fear that these plants, which are not indigenous to the region, may choke out the vegetation that is native to the area.","Some fear that these plants, which are not __________ to the region, may choke out the vegetation that is native to the area.",,/ɪnˈdɪdʒɪnəs/; /ɪnˈdɪdʒənəs/,https://api.dictionaryapi.dev/media/pronunciations/en/indigenous-au.mp3,adjective,"Born or originating in, native to a land or region, especially before an intrusion.; Innate, inborn.",,
indigent,adj.,"very poor, impoverished",I would rather donate money to help the indigent population than to the park sculpture fund.,I would rather donate money to help the ________ population than to the park sculpture fund.,/ˈɪndɪd͡ʒənt/,/ˈɪndɪd͡ʒənt/,https://api.dictionaryapi.dev/media/pronunciations/en/indigent-uk.mp3,noun; adjective,"A person in need, or in poverty.; Poor; destitute; in need.; Utterly lacking or in need of something specified.",,affluent
indignation,n.,anger sparked by something unjust or unfair  SAT Vocabulary I,I resigned from the sorority because of my indignation at its hazing of new members.,I resigned from the sorority because of my ___________ at its hazing of new members.,/ˌɪn.dɪɡ.ˈneɪ.ʃən/,/ˌɪn.dɪɡ.ˈneɪ.ʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/indignation-us.mp3,noun,"An anger aroused by something perceived as an indignity, notably an offense or injustice.; A self-righteous anger or disgust.",,
indolent,adj.,lazy,"Why should my indolent children, who can’t even pick themselves up off the couch to pour their own juice, be rewarded with a trip to the mall?","Why should my ________ children, who can’t even pick themselves up off the couch to pour their own juice, be rewarded with a trip to the mall?",/ˈɪn.dəl.ənt/,/ˈɪn.dəl.ənt/; /ˈɪn.dəl.ənt/,https://api.dictionaryapi.dev/media/pronunciations/en/indolent-us.mp3,adjective,"Habitually lazy, procrastinating, or resistant to physical labor; Inducing laziness; Causing little or no physical pain; progressing slowly; inactive (of an ulcer, etc.); Healing slowly",,
indomitable,adj.,not capable of being conquered,"To be honest, Jim, my indomitable nature means I could never take orders from anyone, and especially not from a jerk like you.","To be honest, Jim, my ___________ nature means I could never take orders from anyone, and especially not from a jerk like you.",/ɪnˈdɒmɪtəbl̩/,/ɪnˈdɒmɪtəbl̩/; /ɪnˈdɑmɪtəbl̩/,,adjective,"Incapable of being subdued, overcome, or vanquished.",,
induce,v.,"to bring about, stimulate",Who knew that our decision to boycott school lunch would induce a huge riot?,Who knew that our decision to boycott school lunch would ______ a huge riot?,/ɪnˈdjuːs/,/ɪnˈdjuːs/; /ɪnˈduːs/,https://api.dictionaryapi.dev/media/pronunciations/en/induce-us.mp3,verb,"To lead by persuasion or influence; incite or prevail upon.; To cause, bring about, lead to.; To cause or produce (electric current or a magnetic state) by a physical process of induction.; To infer by induction.; To lead in, bring in, introduce.; To draw on, place upon.",,
ineffable,adj.,"unspeakable, incapable of being expressed through words",It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter.,It is said that the experience of playing with a dolphin is _________ and can only be understood through direct encounter.,,/ɪˈnɛf.ə.bəl/; /ˌɪnˈɛf.ə.bəl/,https://api.dictionaryapi.dev/media/pronunciations/en/ineffable-au.mp3; https://api.dictionaryapi.dev/media/pronunciations/en/ineffable-us.mp3,adjective,Beyond expression in words; unspeakable.; Forbidden to be uttered; taboo.,taboo; unutterable; unspeakable; inexpressible; indescribable,effable
inept,adj.,"not suitable or capable, unqualified",She proved how inept she was when she forgot three orders and spilled a beer in a customer’s lap.,She proved how _____ she was when she forgot three orders and spilled a beer in a customer’s lap.,/ɪnˈɛpt/,/ɪnˈɛpt/; /ɪnˈɛpt/,,adjective,Not able to do something; not proficient; displaying incompetence.; Unfit; unsuitable.,,
inexorable,adj.,incapable of being persuaded or placated,"Although I begged for hours, Mom was inexorable and refused to let me stay out all night after the prom.","Although I begged for hours, Mom was __________ and refused to let me stay out all night after the prom.",,/ɪnˈɛksɔɹəbəl/; /ɪˈnɛksɚəb(ə)l/,https://api.dictionaryapi.dev/media/pronunciations/en/inexorable-au.mp3,adjective,Impossible to prevent or stop; inevitable.; Unable to be persuaded; relentless; unrelenting.; Adamant; severe.,ineluctable; inescapable; unpreventable; implacable; unstoppable; unrelenting,exorable
inextricable,adj.,hopelessly tangled or entangled,"Unless I look at the solution manual, I have no way of solving this inextricable problem.","Unless I look at the solution manual, I have no way of solving this ____________ problem.",,,,adjective,(of a knot etc) Impossible to untie or disentangle.; (of a problem) Impossible to solve.; (of a maze etc) Impossible to escape from.,,
infamy,n.,"notoriety, extreme ill repute",The infamy of his crime will not lessen as the decades pass.,The ______ of his crime will not lessen as the decades pass.,/ˈɪnfəmi/,/ˈɪnfəmi/,,noun,The state of being infamous.; A reputation as being evil.; A reprehensible occurrence or situation.; A stigma attaching to a person's character that disqualifies them from being a witness.,,
infusion,n.,an injection of one substance into another; the permeation of one substance by another,The infusion of Eastern religion into Western philosophy created interesting new schools of thought.,The ________ of Eastern religion into Western philosophy created interesting new schools of thought.,/ɪnˈfjuːʒən/,/ɪnˈfjuːʒən/,,noun,A product consisting of a liquid which has had other ingredients steeped in it to extract useful qualities.; The act of steeping or soaking a substance in liquid so as to extract medicinal or herbal qualities.; The act of installing a quality into a person.; The act of dipping into a fluid.; (medicine) The administration of liquid substances directly into a vein for medical purposes; perfusion.,,
ingenious,adj.,"clever, resourceful",Her ingenious use of walnuts instead of the peanuts called for by the recipe was lauded by the other garden club members who found her cake delicious.,Her _________ use of walnuts instead of the peanuts called for by the recipe was lauded by the other garden club members who found her cake delicious.,/ɪnˈdʒiːniəs/,/ɪnˈdʒiːniəs/,https://api.dictionaryapi.dev/media/pronunciations/en/ingenious-us.mp3,adjective,Displaying genius or brilliance; tending to invent.; Characterized by genius; cleverly done or contrived.; Witty; original; shrewd; adroit; keen; sagacious.,,
ingenuous,adj.,not devious; innocent and candid,"He must have writers, but his speeches seem so ingenuous it’s hard to believe he’s not speaking from his own heart.","He must have writers, but his speeches seem so _________ it’s hard to believe he’s not speaking from his own heart.",/ɪnˈdʒɛn.ju.əs/,/ɪnˈdʒɛn.ju.əs/,,adjective,"Naive and trusting.; Demonstrating childlike simplicity.; Unsophisticated; clumsy or obvious.; Unable to mask one's feelings.; Straightforward, candid, open, and frank.",,
inhibit,v.,"to prevent, restrain, stop","When I told you I needed the car last night, I certainly never meant to inhibit you from going out.","When I told you I needed the car last night, I certainly never meant to _______ you from going out.",/ɪnˈhɪbɪt/,/ɪnˈhɪbɪt/,,verb,To hold in or hold back; to keep in check; restrain.; To recuse.,,
inimical,adj.,"hostile, enemylike",I don’t see how I could ever work for a company that was so cold and inimical to me during my interviews.,I don’t see how I could ever work for a company that was so cold and ________ to me during my interviews.,/ɪˈnɪmɪkəl/,/ɪˈnɪmɪkəl/,https://api.dictionaryapi.dev/media/pronunciations/en/inimical-us.mp3,adjective,"Harmful in effect.; Unfriendly, hostile.",,
iniquity,n.,wickedness or sin  I SAT Vocabulary,"“Your iniquity,” said the priest to the practical jokester, “will be forgiven.”","“Your ________,” said the priest to the practical jokester, “will be forgiven.”",/ɪnˈɪkwɪti/,/ɪnˈɪkwɪti/; /-kwə-/,https://api.dictionaryapi.dev/media/pronunciations/en/iniquity-uk.mp3,noun,"Deviation from what is right; gross injustice, sin, wickedness.; An act of great injustice or unfairness; a sinful or wicked act; an unconscionable deed.",,
injunction,n.,an order of official warning,"After his house was toilet-papered for the fifth time, the mayor issued an injunction against anyone younger than 21 buying toilet paper.","After his house was toilet-papered for the fifth time, the mayor issued an __________ against anyone younger than 21 buying toilet paper.",,,,,,,
innate,adj.,"inborn, native, inherent","His incredible athletic talent is innate, he never trains, lifts weights, or practices.","His incredible athletic talent is ______, he never trains, lifts weights, or practices.",,,,,,,
innocuous,adj.,"harmless, inoffensive","In spite of their innocuous appearance, these mushrooms are actually quite poisonous.","In spite of their _________ appearance, these mushrooms are actually quite poisonous.",,,,,,,
innovate,v.,to do something in an unprecedented way,"Because of the stiff competition, the company knew it needed to pour a lot of energy into innovating new and better products.","Because of the stiff competition, the company knew it needed to pour a lot of energy into innovating new and better products.",,,,,,,
innuendo,n.,an insinuation,"During the debate, the politician made several innuendos about the sexual activities of his opponent.","During the debate, the politician made several ________s about the sexual activities of his opponent.",,,,,,,
inoculate,v.,"to introduce a microorganism, serum, or vaccine into an organism in order to increase immunity to illness; to vaccinate",I’ve feared needles ever since I was inoculated against 37 diseases at age one; but I have also never been sick.,I’ve feared needles ever since I was _________d against 37 diseases at age one; but I have also never been sick.,,,,,,,
inquisitor,n.,"one who inquires, especially in a hostile manner",The inquisitor was instructed to knock on every door in town in order to find the fugitive.,The __________ was instructed to knock on every door in town in order to find the fugitive.,,,,,,,
insatiable,adj.,incapable of being satisfied,My insatiable appetite for melons can be a real problem in the winter.,My __________ appetite for melons can be a real problem in the winter.,,,,,,,
insidious,adj.,"appealing but imperceptibly harmful, seductive",Lisa’s insidious chocolate cake tastes so good but makes you feel so sick later on!,Lisa’s _________ chocolate cake tastes so good but makes you feel so sick later on!,,,,,,,
insinuate,v.,to suggest indirectly or subtly,I wish Luke and Spencer would stop insinuating that my perfect report card is the result of anything other than my superior intelligence and good work habits.,I wish Luke and Spencer would stop insinuating that my perfect report card is the result of anything other than my superior intelligence and good work habits.,,,,,,,
insipid,adj.,"dull, boring","The play was so insipid, I fell asleep halfway through.","The play was so _______, I fell asleep halfway through.",,,,,,,
insolent,adj.,"rude, arrogant, overbearing","That celebrity is so insolent, making fun of his fans right to their faces.","That celebrity is so ________, making fun of his fans right to their faces.",,,,,,,
instigate,v.,"to urge, goad",The demagogue instigated the crowd into a fury by telling them that they had been cheated by the federal government.,The demagogue _________d the crowd into a fury by telling them that they had been cheated by the federal government.,,,,,,,
insular,adj.,"separated and narrow-minded; tight-knit, closed off  SAT Vocabulary I","Because of the sensitive nature of their jobs, those who work for the CIA must remain insular and generally only spend time with each other.","Because of the sensitive nature of their jobs, those who work for the CIA must remain _______ and generally only spend time with each other.",,,,,,,
insurgent,n.,one who rebels,The insurgent snuck into and defaced a different classroom each night until the administration agreed to meet his demands.,The _________ snuck into and defaced a different classroom each night until the administration agreed to meet his demands.,,,,,,,
integral,adj.,necessary for completeness,"Without the integral ingredient of flour, you wouldn’t be able to make bread.","Without the ________ ingredient of flour, you wouldn’t be able to make bread.",,,,,,,
interject,v.,to insert between other things,"During our conversation, the cab driver occasionally interjected his opinion.","During our conversation, the cab driver occasionally _________ed his opinion.",,,,,,,
interlocutor,n.,someone who participates in a dialogue or conversation,"When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an interlocutor.","When the officials could not come to an agreement over the correct cover of the flags, the prime minister acted as an ____________.",,,,,,,
interminable,adj.,without possibility of end,The fact that biology lectures came just before lunch made them seem interminable.,The fact that biology lectures came just before lunch made them seem ____________.,,,,,,,
intimation,n.,an indirect suggestion,Mr. Brinford’s intimation that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.,Mr. Brinford’s __________ that he would soon pass away occurred when he began to discuss how to distribute his belongings among his children.,,,,,,,
intractable,adj.,"difficult to manipulate, unmanageable",There was no end in sight to the intractable conflict between the warring countries.,There was no end in sight to the ___________ conflict between the warring countries.,,,,,,,
intransigent,adj.,"refusing to compromise, often on an extreme opinion","The intransigent child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.","The ____________ child said he would have 12 scoops of ice cream, or he would bang his head against the wall until his mother fainted from fear.",,,,,,,
intrepid,adj.,brave in the face of danger,"After scaling a live volcano prior to its eruption, the explorer was praised for his intrepid attitude.","After scaling a live volcano prior to its eruption, the explorer was praised for his ________ attitude.",,,,,,,
inundate,v.,to flood with abundance,"Because I am the star of a new sitcom, my fans are sure to inundate me with fan mail and praise.","Because I am the star of a new sitcom, my fans are sure to ________ me with fan mail and praise.",,,,,,,
inure,v.,to cause someone or something to become accustomed to a situation,Twenty years in the salt mines inured the man to the discomforts of dirt and grime.,Twenty years in the salt mines _____d the man to the discomforts of dirt and grime.,,,,,,,
invective,n.,an angry verbal attack,My mother’s irrational invective against the way I dress only made me decide to dye my hair green.,My mother’s irrational _________ against the way I dress only made me decide to dye my hair green.,,,,,,,
inveterate,adj.,stubbornly established by habit,I’m the first to admit that I’m an inveterate coffee drinker—I drink four cups a day.,I’m the first to admit that I’m an __________ coffee drinker—I drink four cups a day.,,,,,,,
inviolable,adj.,secure from assault,Nobody was ever able to break into Batman’s inviolable Batcave.,Nobody was ever able to break into Batman’s __________ Batcave.,,,,,,,
irascible,adj.,easily angered  J SAT Vocabulary,"At the smallest provocation, my irascible cat will begin scratching and clawing.","At the smallest provocation, my _________ cat will begin scratching and clawing.",,,,,,,
iridescent,adj.,showing rainbow colors,The bride’s large diamond ring was iridescent in the afternoon sun.,The bride’s large diamond ring was __________ in the afternoon sun.,,,,,,,
irreverence,n.,disrespect,The irreverence displayed by the band that marched through the chapel disturbed many churchgoers.,The ___________ displayed by the band that marched through the chapel disturbed many churchgoers.,,,,,,,
irrevocable,adj.,incapable of being taken back  J,The Bill of Rights is an irrevocable part of American law.,The Bill of Rights is an ___________ part of American law.,,,,,,,
jubilant,adj.,"extremely joyful, happy",The crowd was jubilant when the firefighter carried the woman from the flaming building.,The crowd was ________ when the firefighter carried the woman from the flaming building.,,,,,,,
judicious,adj.,having or exercising sound judgment,"When the judicious king decided to compromise rather than send his army to its certain death, he was applauded.","When the _________ king decided to compromise rather than send his army to its certain death, he was applauded.",,,,,,,
juxtaposition,n.,the act of placing two things next to each other for implicit comparison  K,The interior designer admired my juxtaposition of the yellow couch and green table.,The interior designer admired my _____________ of the yellow couch and green table.,,,,,,,
knell,n.,"the solemn sound of a bell, often indicating a death","Echoing throughout our village, the funeral knell made the stormy day even more grim.","Echoing throughout our village, the funeral _____ made the stormy day even more grim.",,,,,,,
kudos,n.,praise for an achievement  L,"After the performance, the reviewers gave the opera singer kudos for a job well done.","After the performance, the reviewers gave the opera singer _____ for a job well done.",,,,,,,
laceration,n.,"a cut, tear","Because he fell off his bike into a rosebush, the paperboy’s skin was covered with lacerations.","Because he fell off his bike into a rosebush, the paperboy’s skin was covered with __________s.",,,,,,,
laconic,adj.,terse in speech or writing,The author’s laconic style has won him many followers who dislike wordiness.,The author’s _______ style has won him many followers who dislike wordiness.,,,,,,,
languid,adj.,sluggish from fatigue or weakness,"In the summer months, the great heat makes people languid and lazy.","In the summer months, the great heat makes people _______ and lazy.",,,,,,,
larceny,n.,obtaining another’s property by theft or trickery,"When my car was not where I had left it, I realized that I was a victim of larceny.","When my car was not where I had left it, I realized that I was a victim of _______.",,,,,,,
largess,n.,the generous giving of lavish gifts  SAT Vocabulary L,My boss demonstrated great largess by giving me a new car.,My boss demonstrated great _______ by giving me a new car.,,,,,,,
latent,adj.,"hidden, but capable of being exposed",Sigmund’s dream represented his latent paranoid obsession with other people’s shoes.,Sigmund’s dream represented his ______ paranoid obsession with other people’s shoes.,,,,,,,
laudatory,adj.,expressing admiration or praise  lavish 1.  given without limits  2.  to give without limits,Such laudatory comments are unusual from someone who is usually so reserved in his opinions.,Such _________ comments are unusual from someone who is usually so reserved in his opinions.,,,,,,,
legerdemain,n.,"deception, slight-of-hand",Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of legerdemain.,Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of ___________.,,,,,,,
lenient,adj.,demonstrating tolerance or gentleness,"Because Professor Oglethorpe allowed his students to choose their final grades, the other teachers believed that he was excessively lenient.","Because Professor Oglethorpe allowed his students to choose their final grades, the other teachers believed that he was excessively _______.",,,,,,,
lethargic,adj.,"in a state of sluggishness or apathy  liability 1.  something for which one is legally responsible, usually involving a disadvantage or risk  2.  a handicap, burden","When Jean Claude explained to his boss that he was lethargic and didn’t feel like working that day, the boss fired him.","When Jean Claude explained to his boss that he was _________ and didn’t feel like working that day, the boss fired him.",,,,,,,
libertarian,adj.,advocating principles of liberty and free will,The dissatisfied subjects overthrew the monarch and replaced him with a libertarian ruler who respected their democratic principles.,The dissatisfied subjects overthrew the monarch and replaced him with a ___________ ruler who respected their democratic principles.,,,,,,,
licentious,adj.,displaying a lack of moral or legal restraints,Marilee has always been fascinated by the licentious private lives of politicians.,Marilee has always been fascinated by the __________ private lives of politicians.,,,,,,,
limpid,adj.,"clear, transparent",Mr. Johnson’s limpid writing style greatly pleased readers who disliked complicated novels.,Mr. Johnson’s ______ writing style greatly pleased readers who disliked complicated novels.,,,,,,,
linchpin,n.,something that holds separate parts together,"The linchpin in the prosecution’s case was the hair from the defendant’s head, which was found at the scene of the crime.","The ________ in the prosecution’s case was the hair from the defendant’s head, which was found at the scene of the crime.",,,,,,,
lithe,adj.,"graceful, flexible, supple","Although the dancers were all outstanding, Jae Sun’s control of her lithe body was particularly impressive.","Although the dancers were all outstanding, Jae Sun’s control of her _____ body was particularly impressive.",,,,,,,
litigant,n.,someone engaged in a lawsuit  M SAT Vocabulary,"When the litigants began screaming at each other, Judge Koch ordered them to be silent.","When the ________s began screaming at each other, Judge Koch ordered them to be silent.",,,,,,,
lucid,adj.,"clear, easily understandable","Because Guenevere’s essay was so lucid, I only had to read it once to understand her reasoning.","Because Guenevere’s essay was so _____, I only had to read it once to understand her reasoning.",,,,,,,
luminous,adj.,brightly shining,The light of the luminous moon graced the shoulders of the beautiful maiden.,The light of the ________ moon graced the shoulders of the beautiful maiden.,,,,,,,
lurid,adj.,"ghastly, sensational  M","Gideon’s story, in which he described a character torturing his sister’s dolls, was judged too lurid to be printed in the school’s literary magazine.","Gideon’s story, in which he described a character torturing his sister’s dolls, was judged too _____ to be printed in the school’s literary magazine.",,,,,,,
maelstrom,n.,a destructive whirlpool which rapidly sucks in objects,Little did the explorers know that as they turned the next bend of the calm river a vicious maelstrom would catch their boat.,Little did the explorers know that as they turned the next bend of the calm river a vicious _________ would catch their boat.,,,,,,,
magnanimous,adj.,"noble, generous","Although I had already broken most of her dishes, Jacqueline was magnanimous enough to continue letting me use them.","Although I had already broken most of her dishes, Jacqueline was ___________ enough to continue letting me use them.",,,,,,,
malediction,n.,a curse,"When I was arrested for speeding, I screamed maledictions against the policeman and the entire police department.","When I was arrested for speeding, I screamed ___________s against the policeman and the entire police department.",,,,,,,
malevolent,adj.,wanting harm to befall others,"The malevolent old man sat in the park all day, tripping unsuspecting passersby with his cane.","The __________ old man sat in the park all day, tripping unsuspecting passersby with his cane.",,,,,,,
malleable,adj.,capable of being shaped or transformed,Maximillian’s political opinions were so malleable that anyone he talked to was able to change his mind instantly.,Maximillian’s political opinions were so _________ that anyone he talked to was able to change his mind instantly.,,,,,,,
mandate,n.,"an authoritative command  manifest 1.  easily understandable, obvious  2.  to show plainly","In the Old Testament, God mandates that no one should steal.","In the Old Testament, God _______s that no one should steal.",,,,,,,
manifold,adj.,"diverse, varied",The popularity of Dante’s Inferno is partly due to the fact that the work allows for manifold interpretations.,The popularity of Dante’s Inferno is partly due to the fact that the work allows for ________ interpretations.,,,,,,,
maudlin,adj.,weakly sentimental,"Although many people enjoy romantic comedies, I usually find them maudlin and shallow.","Although many people enjoy romantic comedies, I usually find them _______ and shallow.",,,,,,,
maverick,n.,"an independent, nonconformist person  SAT Vocabulary M",Andreas is a real maverick and always does things his own way.,Andreas is a real ________ and always does things his own way.,,,,,,,
